UMAP_1,UMAP_2,class,image_pixels
17.33418,7.784291,0,"[0.0, 0.0, 1.0, 9.0, 15.0, 11.0, 0.0, 0.0, 0.0, 0.0, 11.0, 16.0, 8.0, 14.0, 6.0, 0.0, 0.0, 2.0, 16.0, 10.0, 0.0, 9.0, 9.0, 0.0, 0.0, 1.0, 16.0, 4.0, 0.0, 8.0, 8.0, 0.0, 0.0, 4.0, 16.0, 4.0, 0.0, 8.0, 8.0, 0.0, 0.0, 1.0, 16.0, 5.0, 1.0, 11.0, 3.0, 0.0, 0.0, 0.0, 12.0, 12.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 1.0, 10.0, 13.0, 3.0, 0.0, 0.0]"
-6.3747077,10.495847,1,"[0.0, 0.0, 0.0, 0.0, 14.0, 13.0, 1.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 14.0, 16.0, 12.0, 0.0, 0.0, 0.0, 1.0, 10.0, 16.0, 16.0, 12.0, 0.0, 0.0, 0.0, 3.0, 12.0, 14.0, 16.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 16.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 16.0, 1.0, 0.0]"
8.969105,4.451884,2,"[0.0, 0.0, 5.0, 12.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 14.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 1.0, 12.0, 0.0, 0.0, 0.0, 0.0, 2.0, 10.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 16.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 16.0, 15.0, 9.0, 8.0, 2.0, 0.0, 0.0, 3.0, 11.0, 8.0, 13.0, 12.0, 4.0]"
1.2152982,8.322326,3,"[0.0, 2.0, 9.0, 15.0, 14.0, 9.0, 3.0, 0.0, 0.0, 4.0, 13.0, 8.0, 9.0, 16.0, 8.0, 0.0, 0.0, 0.0, 0.0, 6.0, 14.0, 15.0, 3.0, 0.0, 0.0, 0.0, 0.0, 11.0, 14.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 15.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 15.0, 4.0, 0.0, 0.0, 1.0, 5.0, 6.0, 13.0, 16.0, 6.0, 0.0, 0.0, 2.0, 12.0, 12.0, 13.0, 11.0, 0.0, 0.0]"
4.8557916,17.12637,4,"[0.0, 0.0, 0.0, 8.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 14.0, 13.0, 1.0, 1.0, 0.0, 0.0, 0.0, 10.0, 15.0, 3.0, 15.0, 11.0, 0.0, 0.0, 7.0, 16.0, 7.0, 1.0, 16.0, 8.0, 0.0, 0.0, 9.0, 16.0, 13.0, 14.0, 16.0, 5.0, 0.0, 0.0, 1.0, 10.0, 15.0, 16.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 16.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 15.0, 4.0, 0.0, 0.0]"
-4.5358634,0.8264394,5,"[0.0, 5.0, 12.0, 13.0, 16.0, 16.0, 2.0, 0.0, 0.0, 11.0, 16.0, 15.0, 8.0, 4.0, 0.0, 0.0, 0.0, 8.0, 14.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 8.0, 16.0, 16.0, 14.0, 0.0, 0.0, 0.0, 0.0, 1.0, 6.0, 6.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 3.0, 0.0, 0.0, 0.0, 1.0, 5.0, 15.0, 13.0, 0.0, 0.0, 0.0, 0.0, 4.0, 15.0, 16.0, 2.0, 0.0, 0.0, 0.0]"
7.6013083,-6.62995,6,"[0.0, 0.0, 0.0, 8.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 16.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 16.0, 16.0, 13.0, 5.0, 0.0, 0.0, 0.0, 15.0, 16.0, 9.0, 9.0, 14.0, 0.0, 0.0, 0.0, 3.0, 14.0, 9.0, 2.0, 16.0, 2.0, 0.0, 0.0, 0.0, 7.0, 15.0, 16.0, 11.0, 0.0]"
-2.6844957,15.788372,7,"[0.0, 0.0, 1.0, 8.0, 15.0, 10.0, 0.0, 0.0, 0.0, 3.0, 13.0, 15.0, 14.0, 14.0, 0.0, 0.0, 0.0, 5.0, 10.0, 0.0, 10.0, 12.0, 0.0, 0.0, 0.0, 0.0, 3.0, 5.0, 15.0, 10.0, 2.0, 0.0, 0.0, 0.0, 16.0, 16.0, 16.0, 16.0, 12.0, 0.0, 0.0, 1.0, 8.0, 12.0, 14.0, 8.0, 3.0, 0.0, 0.0, 0.0, 0.0, 10.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 9.0, 0.0, 0.0, 0.0]"
-3.8607566,8.896625,8,"[0.0, 0.0, 10.0, 7.0, 13.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 10.0, 12.0, 15.0, 2.0, 0.0, 0.0, 0.0, 4.0, 11.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 1.0, 16.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0, 12.0, 13.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 1.0, 12.0, 0.0, 0.0, 0.0, 0.0, 1.0, 10.0, 2.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 14.0, 5.0, 0.0, 0.0, 0.0]"
-1.2908958,3.3603504,9,"[0.0, 0.0, 6.0, 14.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 16.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 14.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 12.0, 12.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 11.0, 0.0, 0.0, 0.0, 1.0, 4.0, 4.0, 7.0, 16.0, 2.0, 0.0, 0.0, 7.0, 16.0, 16.0, 13.0, 11.0, 1.0]"
17.445478,6.6704807,0,"[0.0, 0.0, 3.0, 13.0, 11.0, 7.0, 0.0, 0.0, 0.0, 0.0, 11.0, 16.0, 16.0, 16.0, 2.0, 0.0, 0.0, 4.0, 16.0, 9.0, 1.0, 14.0, 2.0, 0.0, 0.0, 4.0, 16.0, 0.0, 0.0, 16.0, 2.0, 0.0, 0.0, 0.0, 16.0, 1.0, 0.0, 12.0, 8.0, 0.0, 0.0, 0.0, 15.0, 9.0, 0.0, 13.0, 6.0, 0.0, 0.0, 0.0, 9.0, 14.0, 9.0, 14.0, 1.0, 0.0, 0.0, 0.0, 2.0, 12.0, 13.0, 4.0, 0.0, 0.0]"
-6.598575,10.474105,1,"[0.0, 0.0, 0.0, 2.0, 16.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 16.0, 16.0, 2.0, 0.0, 0.0, 1.0, 4.0, 12.0, 16.0, 12.0, 0.0, 0.0, 0.0, 7.0, 16.0, 16.0, 16.0, 12.0, 0.0, 0.0, 0.0, 0.0, 3.0, 10.0, 16.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 16.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 16.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 12.0, 15.0, 4.0, 0.0]"
8.589169,4.1753693,2,"[0.0, 0.0, 8.0, 16.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 11.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 13.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 16.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 15.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.0, 15.0, 8.0, 8.0, 3.0, 0.0, 0.0, 0.0, 7.0, 12.0, 12.0, 12.0, 13.0, 1.0]"
1.3969452,8.73983,3,"[0.0, 1.0, 8.0, 12.0, 15.0, 14.0, 4.0, 0.0, 0.0, 3.0, 11.0, 8.0, 8.0, 12.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 13.0, 7.0, 0.0, 0.0, 0.0, 0.0, 2.0, 15.0, 12.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0, 7.0, 8.0, 14.0, 15.0, 0.0, 0.0, 0.0, 0.0, 14.0, 15.0, 11.0, 2.0, 0.0, 0.0]"
4.28157,17.33313,4,"[0.0, 0.0, 0.0, 0.0, 12.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 14.0, 1.0, 0.0, 0.0, 0.0, 0.0, 4.0, 16.0, 7.0, 8.0, 0.0, 0.0, 0.0, 0.0, 13.0, 9.0, 0.0, 16.0, 6.0, 0.0, 0.0, 6.0, 16.0, 10.0, 11.0, 16.0, 0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 13.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 8.0, 0.0, 0.0]"
-4.522149,0.48850945,5,"[0.0, 0.0, 12.0, 8.0, 8.0, 7.0, 0.0, 0.0, 0.0, 3.0, 16.0, 16.0, 11.0, 7.0, 0.0, 0.0, 0.0, 2.0, 14.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 14.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 15.0, 16.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 8.0, 16.0, 4.0, 0.0, 0.0, 0.0, 0.0, 11.0, 14.0, 9.0, 0.0, 0.0, 0.0]"
7.9175525,-7.209711,6,"[0.0, 0.0, 1.0, 13.0, 14.0, 3.0, 0.0, 0.0, 0.0, 0.0, 8.0, 16.0, 13.0, 2.0, 0.0, 0.0, 0.0, 2.0, 16.0, 16.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 16.0, 12.0, 1.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 14.0, 5.0, 0.0, 0.0, 0.0, 0.0, 3.0, 16.0, 16.0, 16.0, 16.0, 6.0, 0.0, 0.0, 1.0, 14.0, 16.0, 16.0, 16.0, 12.0, 0.0, 0.0, 0.0, 3.0, 12.0, 15.0, 14.0, 7.0, 0.0]"
-2.4960628,14.980917,7,"[0.0, 0.0, 0.0, 8.0, 14.0, 14.0, 2.0, 0.0, 0.0, 0.0, 0.0, 6.0, 10.0, 15.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.0, 10.0, 0.0, 0.0, 2.0, 8.0, 11.0, 12.0, 16.0, 8.0, 0.0, 0.0, 8.0, 16.0, 16.0, 16.0, 16.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 9.0, 16.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 13.0, 1.0, 0.0, 0.0]"
-3.4722912,8.818413,8,"[0.0, 0.0, 10.0, 11.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 15.0, 13.0, 13.0, 1.0, 0.0, 0.0, 0.0, 8.0, 11.0, 0.0, 14.0, 4.0, 0.0, 0.0, 0.0, 0.0, 13.0, 15.0, 13.0, 0.0, 0.0, 0.0, 1.0, 11.0, 16.0, 16.0, 0.0, 0.0, 0.0, 0.0, 1.0, 15.0, 3.0, 9.0, 10.0, 0.0, 0.0, 0.0, 0.0, 14.0, 6.0, 15.0, 10.0, 0.0, 0.0, 0.0, 0.0, 8.0, 14.0, 7.0, 1.0, 0.0, 0.0]"
-1.3616751,3.3535938,9,"[0.0, 0.0, 9.0, 13.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 16.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 12.0, 13.0, 16.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 16.0, 16.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 16.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 10.0, 0.0, 0.0, 0.0, 3.0, 7.0, 12.0, 14.0, 16.0, 2.0, 0.0, 0.0, 7.0, 12.0, 12.0, 12.0, 11.0, 0.0]"
16.994604,7.7048535,0,"[0.0, 0.0, 10.0, 14.0, 11.0, 3.0, 0.0, 0.0, 0.0, 4.0, 16.0, 13.0, 6.0, 14.0, 1.0, 0.0, 0.0, 4.0, 16.0, 2.0, 0.0, 11.0, 7.0, 0.0, 0.0, 8.0, 16.0, 0.0, 0.0, 10.0, 5.0, 0.0, 0.0, 8.0, 16.0, 0.0, 0.0, 14.0, 4.0, 0.0, 0.0, 8.0, 16.0, 0.0, 1.0, 16.0, 1.0, 0.0, 0.0, 4.0, 16.0, 1.0, 11.0, 15.0, 0.0, 0.0, 0.0, 0.0, 11.0, 16.0, 12.0, 3.0, 0.0, 0.0]"
-1.296959,3.3282132,9,"[0.0, 0.0, 2.0, 13.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 16.0, 16.0, 6.0, 0.0, 0.0, 0.0, 0.0, 5.0, 15.0, 13.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 16.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 11.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 4.0, 16.0, 2.0, 0.0, 0.0, 2.0, 15.0, 13.0, 14.0, 13.0, 2.0]"
-3.9391592,1.4279485,5,"[0.0, 2.0, 13.0, 16.0, 16.0, 16.0, 11.0, 0.0, 0.0, 5.0, 16.0, 10.0, 5.0, 4.0, 1.0, 0.0, 0.0, 6.0, 16.0, 7.0, 3.0, 0.0, 0.0, 0.0, 0.0, 9.0, 16.0, 16.0, 16.0, 6.0, 0.0, 0.0, 0.0, 3.0, 8.0, 4.0, 11.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 12.0, 15.0, 0.0, 0.0, 0.0, 0.0, 4.0, 13.0, 16.0, 6.0, 0.0, 0.0, 0.0, 2.0, 16.0, 15.0, 8.0, 0.0, 0.0, 0.0]"
-4.276656,1.2374066,5,"[0.0, 6.0, 13.0, 5.0, 8.0, 8.0, 1.0, 0.0, 0.0, 8.0, 16.0, 16.0, 16.0, 16.0, 6.0, 0.0, 0.0, 6.0, 16.0, 9.0, 6.0, 4.0, 0.0, 0.0, 0.0, 6.0, 16.0, 16.0, 15.0, 5.0, 0.0, 0.0, 0.0, 0.0, 4.0, 5.0, 15.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 16.0, 9.0, 0.0, 0.0, 0.0, 1.0, 8.0, 13.0, 15.0, 3.0, 0.0, 0.0, 0.0, 4.0, 16.0, 15.0, 3.0, 0.0, 0.0, 0.0]"
7.6978874,-6.5919266,6,"[0.0, 0.0, 0.0, 5.0, 14.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 15.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 15.0, 16.0, 15.0, 11.0, 1.0, 0.0, 0.0, 2.0, 13.0, 14.0, 1.0, 12.0, 9.0, 0.0, 0.0, 0.0, 4.0, 16.0, 7.0, 13.0, 9.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 15.0, 3.0, 0.0]"
-4.2983212,1.1633221,5,"[0.0, 3.0, 15.0, 8.0, 8.0, 6.0, 0.0, 0.0, 0.0, 4.0, 16.0, 16.0, 16.0, 13.0, 2.0, 0.0, 0.0, 3.0, 16.0, 9.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 16.0, 16.0, 15.0, 3.0, 0.0, 0.0, 0.0, 0.0, 7.0, 6.0, 12.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 14.0, 10.0, 0.0, 0.0, 0.0, 0.0, 5.0, 14.0, 15.0, 2.0, 0.0, 0.0, 0.0, 1.0, 15.0, 14.0, 1.0, 0.0, 0.0, 0.0]"
17.186028,6.7739096,0,"[0.0, 0.0, 6.0, 14.0, 10.0, 2.0, 0.0, 0.0, 0.0, 0.0, 15.0, 15.0, 13.0, 15.0, 3.0, 0.0, 0.0, 2.0, 16.0, 10.0, 0.0, 13.0, 9.0, 0.0, 0.0, 1.0, 16.0, 5.0, 0.0, 12.0, 5.0, 0.0, 0.0, 0.0, 16.0, 3.0, 0.0, 13.0, 6.0, 0.0, 0.0, 1.0, 15.0, 5.0, 6.0, 13.0, 1.0, 0.0, 0.0, 0.0, 16.0, 11.0, 14.0, 10.0, 0.0, 0.0, 0.0, 0.0, 7.0, 16.0, 11.0, 1.0, 0.0, 0.0]"
-1.1391755,3.2536926,9,"[0.0, 0.0, 13.0, 10.0, 1.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 14.0, 7.0, 0.0, 0.0, 0.0, 0.0, 4.0, 16.0, 8.0, 14.0, 0.0, 0.0, 0.0, 0.0, 2.0, 14.0, 16.0, 16.0, 6.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 9.0, 13.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 6.0, 0.0, 0.0, 0.0, 5.0, 8.0, 5.0, 9.0, 14.0, 0.0, 0.0, 0.0, 13.0, 13.0, 15.0, 16.0, 13.0, 0.0]"
-4.1702437,8.626289,8,"[0.0, 0.0, 7.0, 7.0, 13.0, 16.0, 4.0, 0.0, 0.0, 0.0, 13.0, 13.0, 6.0, 12.0, 7.0, 0.0, 0.0, 0.0, 10.0, 4.0, 10.0, 11.0, 1.0, 0.0, 0.0, 0.0, 8.0, 16.0, 10.0, 0.0, 0.0, 0.0, 0.0, 3.0, 14.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 8.0, 11.0, 5.0, 0.0, 0.0, 0.0, 0.0, 4.0, 10.0, 9.0, 8.0, 0.0, 0.0, 0.0, 0.0, 1.0, 11.0, 16.0, 6.0, 0.0, 0.0, 0.0]"
-1.5731767,3.9235575,9,"[0.0, 1.0, 9.0, 16.0, 13.0, 7.0, 0.0, 0.0, 0.0, 7.0, 14.0, 4.0, 10.0, 12.0, 0.0, 0.0, 0.0, 6.0, 15.0, 9.0, 16.0, 11.0, 0.0, 0.0, 0.0, 0.0, 9.0, 11.0, 7.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 6.0, 0.0, 0.0, 3.0, 13.0, 8.0, 5.0, 14.0, 5.0, 0.0, 0.0, 0.0, 9.0, 14.0, 13.0, 10.0, 1.0, 0.0]"
-3.3976216,8.843997,8,"[0.0, 0.0, 11.0, 10.0, 12.0, 4.0, 0.0, 0.0, 0.0, 0.0, 12.0, 13.0, 9.0, 16.0, 1.0, 0.0, 0.0, 0.0, 7.0, 13.0, 11.0, 16.0, 0.0, 0.0, 0.0, 0.0, 1.0, 16.0, 14.0, 4.0, 0.0, 0.0, 0.0, 0.0, 10.0, 16.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.0, 7.0, 12.0, 7.0, 0.0, 0.0, 0.0, 4.0, 14.0, 4.0, 12.0, 13.0, 0.0, 0.0, 0.0, 1.0, 11.0, 14.0, 12.0, 4.0, 0.0, 0.0]"
